timestamp,open,high,low,close,volume
1767467700000,2.0033,2.008,2.0033,2.0048,439340.1
1767468600000,2.0048,2.0072,2.0044,2.0052,342578.8
1767469500000,2.0052,2.0068,2.0034,2.0061,415388.1
1767470400000,2.0061,2.0078,1.9979,1.9991,1263429.0
1767471300000,1.9991,2.0027,1.9984,2.0023,713817.1
1767472200000,2.0023,2.0094,2.0022,2.0088,1415597.4
1767473100000,2.0088,2.0098,2.005,2.0066,1121863.1
1767474000000,2.0066,2.0083,2.0033,2.007,763704.8
1767474900000,2.007,2.0105,2.0061,2.0087,1269041.8
1767475800000,2.0087,2.0137,2.008,2.0096,1164662.9
1767476700000,2.0096,2.0105,2.0072,2.0083,615979.3
1767477600000,2.0083,2.0084,2.0026,2.0054,1117637.5
1767478500000,2.0054,2.0129,2.0054,2.0105,1011313.4
1767479400000,2.0105,2.0164,2.0101,2.0145,1187319.9
1767480300000,2.0145,2.0149,2.0106,2.0131,429622.1
1767481200000,2.0131,2.0144,2.0112,2.0128,703516.1
1767482100000,2.0128,2.0181,2.0125,2.0164,1027623.7
1767483000000,2.0164,2.0177,2.0148,2.0176,612642.1
1767483900000,2.0176,2.0178,2.0164,2.0171,446382.0
1767484800000,2.0171,2.0308,2.0152,2.0285,6122686.3
1767485700000,2.0285,2.0336,2.0255,2.0275,4065434.6
1767486600000,2.0275,2.0363,2.0257,2.029,2924015.1
1767487500000,2.029,2.0476,2.0273,2.0414,4227214.5
1767488400000,2.0414,2.0417,2.0349,2.0386,2809256.4
1767489300000,2.0386,2.0408,2.032,2.0339,1986825.8
1767490200000,2.0339,2.034,2.0255,2.0295,1688386.6
1767491100000,2.0295,2.0355,2.0277,2.0342,1772344.7
1767492000000,2.0342,2.0352,2.03,2.0339,1647073.2
1767492900000,2.0339,2.036,2.0316,2.0318,1362285.0
1767493800000,2.0318,2.0355,2.03,2.0316,511754.0
1767494700000,2.0316,2.0325,2.0257,2.0299,1426080.6
1767495600000,2.0299,2.0414,2.0292,2.0383,1702984.9
1767496500000,2.0383,2.0435,2.0359,2.0371,2678348.4
1767497400000,2.0371,2.0496,2.0361,2.0482,3281002.7
1767498300000,2.0482,2.061,2.0473,2.0565,6738670.3
1767499200000,2.0565,2.0632,2.0518,2.0627,4853057.2
1767500100000,2.0627,2.068,2.0554,2.0577,3490691.8
1767501000000,2.0577,2.0635,2.053,2.0539,2023694.7
1767501900000,2.0539,2.0625,2.0519,2.0597,3337055.4
1767502800000,2.0597,2.0648,2.0545,2.0614,2896630.9
1767503700000,2.0614,2.0744,2.0604,2.0684,3204650.2
1767504600000,2.0684,2.0698,2.0604,2.0621,1576822.4
1767505500000,2.0621,2.0671,2.062,2.0656,1006606.7
1767506400000,2.0656,2.0721,2.0635,2.0699,2672859.6
1767507300000,2.0699,2.0708,2.064,2.0651,1715612.6
1767508200000,2.0651,2.0688,2.057,2.0588,2373521.5
1767509100000,2.0588,2.0714,2.0588,2.0669,3600059.4
1767510000000,2.0669,2.0811,2.0666,2.0739,3593699.8
1767510900000,2.0739,2.0744,2.0608,2.0661,2867253.4
1767511800000,2.0661,2.075,2.0647,2.072,1562375.5
1767512700000,2.072,2.0754,2.0702,2.0712,1138949.7
1767513600000,2.0712,2.0796,2.0589,2.0791,5878425.2
1767514500000,2.0791,2.0841,2.0717,2.0735,3630560.9
1767515400000,2.0735,2.08,2.0731,2.0779,1632435.3
1767516300000,2.0779,2.0785,2.0724,2.0765,868018.6
1767517200000,2.0765,2.0793,2.0694,2.0725,1363817.1
1767518100000,2.0725,2.0747,2.0659,2.0665,1409578.0
1767519000000,2.0665,2.075,2.0664,2.0739,2587335.5
1767519900000,2.0739,2.0888,2.0734,2.0853,4857120.1
1767520800000,2.0853,2.0853,2.0792,2.0813,2453211.9
1767521700000,2.0813,2.0821,2.0772,2.0797,1339167.5
1767522600000,2.0797,2.0886,2.079,2.0878,1872888.8
1767523500000,2.0878,2.0916,2.0851,2.0899,2626994.8
1767524400000,2.0899,2.0899,2.0841,2.085,1568717.1
1767525300000,2.085,2.088,2.083,2.0865,978081.4
1767526200000,2.0865,2.0899,2.0818,2.0886,2876843.8
1767527100000,2.0886,2.0965,2.0876,2.094,4430079.0
1767528000000,2.094,2.0984,2.0909,2.0939,2341998.9
1767528900000,2.0939,2.1196,2.0924,2.1147,12082846.1
1767529800000,2.1147,2.1178,2.1032,2.1035,5032864.8
1767530700000,2.1035,2.1186,2.103,2.1164,2976294.2
1767531600000,2.1164,2.1165,2.1069,2.1088,2827882.8
1767532500000,2.1088,2.1089,2.0897,2.0945,9089552.4
1767533400000,2.0945,2.0992,2.0924,2.0933,2385742.1
1767534300000,2.0933,2.103,2.0931,2.1006,2030324.0
1767535200000,2.1006,2.1038,2.0945,2.1013,1943838.8
1767536100000,2.1013,2.1057,2.0935,2.0952,2081951.3
1767537000000,2.0952,2.097,2.0815,2.084,5278976.6
1767537900000,2.084,2.09,2.0804,2.0899,2858151.9
1767538800000,2.0899,2.0925,2.0857,2.0881,910100.8
1767539700000,2.0881,2.0947,2.0877,2.09,1692125.1
1767540600000,2.09,2.0922,2.0827,2.0866,1068633.5
1767541500000,2.0866,2.0963,2.0811,2.0897,5125464.9
1767542400000,2.0897,2.0899,2.082,2.0872,2063293.3
1767543300000,2.0872,2.0891,2.0831,2.0854,1763160.3
1767544200000,2.0854,2.092,2.0835,2.0877,1666135.7
1767545100000,2.0877,2.0933,2.0877,2.0906,964223.4
1767546000000,2.0906,2.0959,2.0893,2.0957,1803184.5
1767546900000,2.0957,2.1024,2.0924,2.0925,5815597.2
1767547800000,2.0925,2.0973,2.0897,2.0901,943206.4
1767548700000,2.0901,2.095,2.089,2.0947,842658.9
1767549600000,2.0947,2.095,2.0868,2.087,1935062.8
1767550500000,2.087,2.0898,2.0845,2.0851,948231.7
1767551400000,2.0851,2.0877,2.0724,2.0834,6581303.0
1767552300000,2.0834,2.0892,2.0827,2.0867,1091378.2
1767553200000,2.0867,2.0879,2.0707,2.0761,5367757.9
1767554100000,2.0761,2.0842,2.0746,2.0816,2104903.4
1767555000000,2.0816,2.088,2.0747,2.0758,1445325.3
1767555900000,2.0758,2.0838,2.0752,2.0836,1112398.2
1767556800000,2.0836,2.0914,2.0801,2.0897,1263633.6
1767557700000,2.0897,2.092,2.0874,2.0915,1095828.5
1767558600000,2.0915,2.0944,2.0888,2.0917,815803.0
1767559500000,2.0917,2.0924,2.09,2.0916,2534251.2
1767560400000,2.0916,2.1021,2.0883,2.0969,3493863.8
1767561300000,2.0969,2.0992,2.0957,2.0964,1043177.6
1767562200000,2.0964,2.0979,2.088,2.0915,1903211.3
1767563100000,2.0915,2.0974,2.0896,2.0959,1422907.9
1767564000000,2.0959,2.099,2.0893,2.0913,1211105.3
1767564900000,2.0913,2.094,2.0864,2.0881,1553616.4
1767565800000,2.0881,2.0882,2.0785,2.0816,1900590.8
1767566700000,2.0816,2.086,2.08,2.0849,1444618.4
1767567600000,2.0849,2.0966,2.0828,2.0839,2018200.4
1767568500000,2.0839,2.091,2.083,2.0861,938896.1
1767569400000,2.0861,2.0922,2.0851,2.0872,1207836.7
1767570300000,2.0872,2.0919,2.0847,2.0895,764840.0
1767571200000,2.0895,2.0985,2.0865,2.0955,3737913.3
1767572100000,2.0955,2.1017,2.0923,2.0984,3909444.5
1767573000000,2.0984,2.1037,2.0951,2.1025,2690425.6
1767573900000,2.1025,2.1161,2.1024,2.1113,5330183.9
1767574800000,2.1113,2.1296,2.1085,2.1296,8170160.4
1767575700000,2.1296,2.1384,2.1236,2.1372,4587068.9
1767576600000,2.1372,2.158,2.1305,2.1533,7910848.2
1767577500000,2.1533,2.1662,2.1446,2.1559,5820135.8
1767578400000,2.1559,2.1606,2.1466,2.1483,3918349.4
1767579300000,2.1483,2.1504,2.1385,2.1392,3949417.1
1767580200000,2.1392,2.1488,2.1347,2.1361,3810367.2
1767581100000,2.1361,2.1462,2.1353,2.1432,3529668.2
1767582000000,2.1432,2.1495,2.1384,2.1397,2357598.1
1767582900000,2.1397,2.1443,2.136,2.1411,1300054.9
1767583800000,2.1411,2.1529,2.139,2.139,3505885.7
1767584700000,2.139,2.1446,2.1376,2.1419,1115628.4
1767585600000,2.1419,2.1452,2.133,2.1364,2202752.1
1767586500000,2.1364,2.1406,2.1211,2.1234,4773476.7
1767587400000,2.1234,2.1255,2.1166,2.1205,3976823.4
1767588300000,2.1205,2.1289,2.1196,2.1258,2640059.5
1767589200000,2.1258,2.1314,2.1211,2.1308,1353881.2
1767590100000,2.1308,2.1368,2.1278,2.1316,2796893.3
1767591000000,2.1316,2.1327,2.1276,2.131,1177673.9
1767591900000,2.131,2.1346,2.1206,2.122,2702958.6
1767592800000,2.122,2.1275,2.1195,2.1256,1895971.9
1767593700000,2.1256,2.1274,2.1114,2.1138,4517709.7
1767594600000,2.1138,2.1221,2.1074,2.1214,3359661.7
1767595500000,2.1214,2.1239,2.1194,2.1222,1125177.4
1767596400000,2.1222,2.1333,2.1218,2.1314,2114072.4
1767597300000,2.1314,2.134,2.1288,2.1305,1339661.8
1767598200000,2.1305,2.1329,2.1286,2.132,1013239.0
1767599100000,2.132,2.1342,2.1304,2.1328,1209383.9
1767600000000,2.1328,2.1455,2.13,2.1441,2656361.1
1767600900000,2.1441,2.1515,2.1433,2.1481,3178972.8
1767601800000,2.1481,2.1494,2.1357,2.1378,2139822.4
1767602700000,2.1378,2.1422,2.1375,2.1384,1401743.6
1767603600000,2.1384,2.14,2.1268,2.129,6005102.8
1767604500000,2.129,2.1404,2.1283,2.1394,2188048.2
1767605400000,2.1394,2.1462,2.1358,2.1433,1971110.5
1767606300000,2.1433,2.1438,2.1347,2.136,1427992.6
1767607200000,2.136,2.1464,2.1359,2.1459,2748210.1
1767608100000,2.1459,2.1485,2.141,2.1418,1644558.7
1767609000000,2.1418,2.1422,2.1309,2.1351,3199890.6
1767609900000,2.1351,2.1412,2.135,2.1367,1933500.4
1767610800000,2.1367,2.1367,2.1278,2.1306,4085445.7
1767611700000,2.1306,2.1346,2.1267,2.1295,1755928.6
1767612600000,2.1295,2.1308,2.1241,2.129,2069222.2
1767613500000,2.129,2.1339,2.1277,2.1325,1147399.3
1767614400000,2.1325,2.1353,2.1273,2.133,4924435.6
1767615300000,2.133,2.1373,2.124,2.1243,1757451.6
1767616200000,2.1243,2.1285,2.1215,2.1239,1470163.7
1767617100000,2.1239,2.1302,2.1233,2.1264,1040451.3
1767618000000,2.1264,2.1309,2.1237,2.1302,868783.7
1767618900000,2.1302,2.1302,2.1181,2.1216,2040445.2
1767619800000,2.1216,2.1226,2.1113,2.1151,3476851.1
1767620700000,2.1151,2.1211,2.1126,2.1165,1816727.2
1767621600000,2.1165,2.1206,2.1111,2.1176,2624666.4
1767622500000,2.1176,2.121,2.1111,2.1197,2217409.4
1767623400000,2.1197,2.1453,2.1171,2.1434,9734374.6
1767624300000,2.1434,2.1536,2.1329,2.149,13247867.3
1767625200000,2.149,2.1529,2.1368,2.1494,7014524.6
1767626100000,2.1494,2.1593,2.1427,2.1498,6598078.5
1767627000000,2.1498,2.1677,2.1486,2.1652,6503490.8
1767627900000,2.1652,2.1688,2.1584,2.1642,2836231.3
1767628800000,2.1642,2.1775,2.1634,2.1756,5676959.4
1767629700000,2.1756,2.1846,2.1667,2.177,8089901.5
1767630600000,2.177,2.1883,2.1729,2.1809,4680154.5
1767631500000,2.1809,2.196,2.1795,2.1932,6641910.7
1767632400000,2.1932,2.1952,2.1855,2.1864,4087667.5
1767633300000,2.1864,2.1871,2.1671,2.1777,7001060.6
1767634200000,2.1777,2.1949,2.1761,2.1919,4562279.7
1767635100000,2.1919,2.2072,2.19,2.2059,9598810.4
1767636000000,2.2059,2.2189,2.1989,2.2185,6761771.0
1767636900000,2.2185,2.229,2.2049,2.2257,11574307.3
1767637800000,2.2257,2.246,2.2214,2.2423,11814253.6
1767638700000,2.2423,2.2686,2.2404,2.2664,20225277.1
1767639600000,2.2664,2.2749,2.2571,2.2712,8121183.9
1767640500000,2.2712,2.2743,2.2581,2.2705,8385635.5
1767641400000,2.2705,2.2818,2.2645,2.2687,10183377.0
1767642300000,2.2687,2.2813,2.265,2.2773,5250926.4
1767643200000,2.2773,2.323,2.2751,2.3196,23322461.7
1767644100000,2.3196,2.3498,2.3188,2.3457,22153343.2
1767645000000,2.3457,2.3463,2.3068,2.3194,18273709.9
1767645900000,2.3194,2.3219,2.297,2.3154,11640079.1
1767646800000,2.3154,2.3326,2.3118,2.3229,7593208.6
1767647700000,2.3229,2.3386,2.3229,2.3238,7307439.3
1767648600000,2.3238,2.3378,2.322,2.3301,6374755.3
1767649500000,2.3301,2.3433,2.3271,2.3348,4803029.8
1767650400000,2.3348,2.3348,2.3212,2.3253,4397102.9
1767651300000,2.3253,2.3365,2.3241,2.3279,3589448.3
1767652200000,2.3279,2.3465,2.3264,2.3346,5059304.2
1767653100000,2.3346,2.3385,2.3265,2.3344,2982983.5
1767654000000,2.3344,2.3562,2.3336,2.3546,5939786.8
1767654900000,2.3546,2.3684,2.3479,2.3571,9285574.8
1767655800000,2.3571,2.3647,2.35,2.3555,6286690.8
1767656700000,2.3555,2.3636,2.3449,2.347,4562018.3
1767657600000,2.347,2.3599,2.3224,2.3249,11848052.9
1767658500000,2.3249,2.3592,2.3157,2.3582,10354636.0
1767659400000,2.3582,2.3582,2.3331,2.3484,7374867.2
1767660300000,2.3484,2.3737,2.3457,2.3708,8425213.0
1767661200000,2.3708,2.3938,2.3678,2.3777,15228369.9
1767662100000,2.3777,2.3929,2.3768,2.3917,5931471.5
1767663000000,2.3917,2.4046,2.3682,2.3702,18104168.9
1767663900000,2.3702,2.3741,2.3606,2.373,5268376.9
1767664800000,2.373,2.3898,2.3703,2.3847,5111817.1
1767665700000,2.3847,2.4158,2.3778,2.4023,9280543.5
1767666600000,2.4023,2.4054,2.3924,2.3967,5620727.7
1767667500000,2.3967,2.3984,2.3822,2.3919,4855528.8
1767668400000,2.3919,2.3984,2.3852,2.3972,4871267.5
1767669300000,2.3972,2.4007,2.3826,2.3887,2916787.7
1767670200000,2.3887,2.3943,2.3826,2.3907,3108479.7
1767671100000,2.3907,2.3955,2.378,2.3851,2787914.4
1767672000000,2.3851,2.3874,2.3715,2.3758,4058392.3
1767672900000,2.3758,2.382,2.3652,2.3677,3581799.0
1767673800000,2.3677,2.3917,2.3673,2.3905,3961779.1
1767674700000,2.3905,2.393,2.3841,2.3866,1620035.8
1767675600000,2.3866,2.4083,2.3855,2.4006,7753841.2
1767676500000,2.4006,2.4034,2.3893,2.3937,2686387.0
1767677400000,2.3937,2.3972,2.3883,2.3914,2162661.2
1767678300000,2.3914,2.3916,2.3814,2.3891,4250581.4
1767679200000,2.3891,2.3995,2.3873,2.393,4577723.6
1767680100000,2.393,2.397,2.3753,2.3823,4349944.2
1767681000000,2.3823,2.3889,2.3734,2.3859,2981827.0
1767681900000,2.3859,2.3865,2.3749,2.3754,2289314.1
1767682800000,2.3754,2.3764,2.37,2.3748,3308481.3
1767683700000,2.3748,2.3755,2.346,2.3541,10313966.8
1767684600000,2.3541,2.3542,2.3338,2.3396,8623743.9
1767685500000,2.3396,2.34,2.3212,2.3296,9646855.5
1767686400000,2.3296,2.3448,2.3273,2.338,7074545.5
1767687300000,2.338,2.3463,2.3308,2.337,3279076.0
1767688200000,2.337,2.3422,2.3332,2.3341,1837034.4
1767689100000,2.3341,2.3393,2.3242,2.3317,3304456.7
1767690000000,2.3317,2.3507,2.3297,2.337,4286362.9
1767690900000,2.337,2.3466,2.337,2.3424,2825830.6
1767691800000,2.3424,2.3474,2.3371,2.3467,2022475.4
1767692700000,2.3467,2.3594,2.3429,2.3509,5296915.9
1767693600000,2.3509,2.355,2.3451,2.3544,2757100.6
1767694500000,2.3544,2.3544,2.3453,2.3493,1390897.6
1767695400000,2.3493,2.3586,2.349,2.355,1670126.8
1767696300000,2.355,2.3632,2.3549,2.3597,2746787.0
1767697200000,2.3597,2.369,2.3551,2.3667,4551438.5
1767698100000,2.3667,2.3692,2.3614,2.3646,2344259.4
1767699000000,2.3646,2.3753,2.3619,2.372,3362059.9
1767699900000,2.372,2.3762,2.3686,2.376,3037360.7
1767700800000,2.376,2.3938,2.3731,2.385,6695805.6
1767701700000,2.385,2.3893,2.3776,2.3844,3090499.2
1767702600000,2.3844,2.3862,2.3673,2.3691,4946267.3
1767703500000,2.3691,2.377,2.3691,2.373,2653814.1
1767704400000,2.373,2.3784,2.3652,2.3736,4605251.6
1767705300000,2.3736,2.3754,2.366,2.3697,7092293.2
1767706200000,2.3697,2.3727,2.368,2.3688,2785146.2
1767707100000,2.3688,2.3754,2.3668,2.37,4757971.7
1767708000000,2.37,2.386,2.3694,2.3859,8887651.0
1767708900000,2.3859,2.3961,2.3795,2.3885,11650223.2
1767709800000,2.3885,2.3985,2.3757,2.3793,12719427.1
1767710700000,2.3793,2.3929,2.371,2.3782,16587129.9
1767711600000,2.3782,2.3851,2.375,2.3808,3735342.8
1767712500000,2.3808,2.3917,2.3808,2.3856,2796942.7
1767713400000,2.3856,2.386,2.3375,2.3449,18906428.3
1767714300000,2.3449,2.354,2.333,2.3478,10557656.3
1767715200000,2.3478,2.3541,2.3291,2.3358,6910566.9
1767716100000,2.3358,2.3397,2.2841,2.285,21899667.2
1767717000000,2.285,2.3032,2.2729,2.2789,17413383.4
