timestamp,open,high,low,close,volume
1767261600000,1.2916,1.2954,1.2916,1.2935,9499.3
1767262500000,1.2935,1.2944,1.2923,1.2942,7638.2
1767263400000,1.2942,1.2957,1.2937,1.2952,6286.6
1767264300000,1.2952,1.2973,1.2949,1.2973,9509.5
1767265200000,1.2973,1.298,1.2947,1.2974,12501.3
1767266100000,1.2974,1.2985,1.2953,1.2955,7985.4
1767267000000,1.2955,1.297,1.2955,1.2969,6837.3
1767267900000,1.2969,1.2993,1.2968,1.2986,34870.9
1767268800000,1.2986,1.2993,1.2961,1.298,19068.8
1767269700000,1.298,1.298,1.2932,1.2941,19366.1
1767270600000,1.2941,1.2942,1.2909,1.2917,16070.9
1767271500000,1.2917,1.2934,1.29,1.2912,18114.6
1767272400000,1.2912,1.2952,1.2907,1.2926,17334.8
1767273300000,1.2926,1.2964,1.2926,1.2964,10161.4
1767274200000,1.2964,1.3069,1.2954,1.3068,45493.1
1767275100000,1.3068,1.3108,1.3053,1.3065,34121.8
1767276000000,1.3065,1.3143,1.3065,1.3136,23838.4
1767276900000,1.3136,1.3143,1.3064,1.3084,28002.9
1767277800000,1.3084,1.3124,1.3065,1.3118,14312.4
1767278700000,1.3118,1.3211,1.3112,1.3185,47739.2
1767279600000,1.3185,1.3202,1.316,1.3164,20197.0
1767280500000,1.3164,1.3236,1.3163,1.3225,19332.0
1767281400000,1.3225,1.3337,1.3218,1.3264,94447.0
1767282300000,1.3264,1.3372,1.3216,1.3369,242860.7
1767283200000,1.3369,1.3422,1.3317,1.3346,86606.4
1767284100000,1.3346,1.3389,1.3318,1.3334,86203.0
1767285000000,1.3334,1.3367,1.3322,1.3355,10713.6
1767285900000,1.3355,1.3363,1.3302,1.3346,52868.6
1767286800000,1.3346,1.3442,1.3346,1.3439,44752.0
1767287700000,1.3439,1.3469,1.3392,1.3457,44457.8
1767288600000,1.3457,1.3503,1.3434,1.3452,87814.6
1767289500000,1.3452,1.3458,1.342,1.3452,11041.7
1767290400000,1.3452,1.3506,1.3419,1.3429,22645.1
1767291300000,1.3429,1.345,1.3413,1.3431,7846.9
1767292200000,1.3431,1.3454,1.3415,1.3422,11831.2
1767293100000,1.3422,1.3454,1.3422,1.3454,5547.4
1767294000000,1.3454,1.3504,1.3454,1.348,14872.0
1767294900000,1.348,1.3496,1.3475,1.3482,16661.4
1767295800000,1.3482,1.3525,1.3462,1.352,25497.6
1767296700000,1.352,1.3588,1.35,1.3577,15511.3
1767297600000,1.3577,1.3688,1.3576,1.3598,61512.4
1767298500000,1.3598,1.3606,1.3564,1.357,15161.1
1767299400000,1.357,1.3574,1.3493,1.353,60791.0
1767300300000,1.353,1.357,1.3523,1.3568,9848.3
1767301200000,1.3568,1.3599,1.3567,1.3582,20569.1
1767302100000,1.3582,1.3611,1.3581,1.3588,6562.6
1767303000000,1.3588,1.3588,1.3539,1.3539,6332.6
1767303900000,1.3539,1.357,1.3517,1.357,16098.9
1767304800000,1.357,1.365,1.3567,1.3618,41649.2
1767305700000,1.3618,1.3629,1.3594,1.3621,4077.9
1767306600000,1.3621,1.3655,1.3574,1.3585,6516.9
1767307500000,1.3585,1.3726,1.3585,1.3708,17883.3
1767308400000,1.3708,1.3863,1.3708,1.3748,110362.3
1767309300000,1.3748,1.3799,1.3741,1.3756,22268.7
1767310200000,1.3756,1.3811,1.3736,1.3801,55470.2
1767311100000,1.3801,1.3813,1.3758,1.381,15237.7
1767312000000,1.381,1.4049,1.381,1.4048,247046.9
1767312900000,1.4048,1.4048,1.3962,1.3994,41069.9
1767313800000,1.3994,1.4024,1.383,1.383,60087.7
1767314700000,1.383,1.3878,1.3807,1.3877,22398.5
1767315600000,1.3877,1.4217,1.3868,1.4014,248153.0
1767316500000,1.4014,1.4115,1.3996,1.407,46568.4
1767317400000,1.407,1.4084,1.4043,1.4065,18273.2
1767318300000,1.4065,1.409,1.4041,1.4081,14451.5
1767319200000,1.4081,1.4238,1.408,1.4221,84107.3
1767320100000,1.4221,1.4267,1.4097,1.415,109917.8
1767321000000,1.415,1.4459,1.4147,1.4376,116880.0
1767321900000,1.4376,1.4434,1.4223,1.4379,100684.6
1767322800000,1.4379,1.44,1.4243,1.4388,105172.8
1767323700000,1.4388,1.4603,1.435,1.4486,118707.2
1767324600000,1.4486,1.4713,1.4442,1.4629,174636.5
1767325500000,1.4629,1.4852,1.4526,1.4847,274880.5
1767326400000,1.4847,1.4915,1.4613,1.4641,247241.5
1767327300000,1.4641,1.4674,1.4403,1.4431,164012.1
1767328200000,1.4431,1.4609,1.4382,1.4484,121290.4
1767329100000,1.4484,1.4512,1.4402,1.4408,97731.4
1767330000000,1.4408,1.4572,1.4375,1.4507,116357.2
1767330900000,1.4507,1.4518,1.4259,1.426,166357.0
1767331800000,1.426,1.4313,1.4242,1.4301,52289.4
1767332700000,1.4301,1.4359,1.4298,1.4323,66828.0
1767333600000,1.4323,1.4426,1.4283,1.4352,129747.1
1767334500000,1.4352,1.4625,1.4302,1.4456,295904.1
1767335400000,1.4456,1.4482,1.4313,1.4367,191047.0
1767336300000,1.4367,1.4476,1.4346,1.4443,74851.9
1767337200000,1.4443,1.4498,1.442,1.4448,45456.9
1767338100000,1.4448,1.4464,1.4354,1.437,27844.2
1767339000000,1.437,1.4379,1.4311,1.4322,28754.6
1767339900000,1.4322,1.437,1.4313,1.4346,27011.5
1767340800000,1.4346,1.4459,1.4292,1.4452,29296.1
1767341700000,1.4452,1.4705,1.4429,1.4673,92700.0
1767342600000,1.4673,1.4883,1.4649,1.4666,244398.8
1767343500000,1.4666,1.4699,1.4578,1.4676,114833.0
1767344400000,1.4676,1.5119,1.4636,1.479,759787.9
1767345300000,1.479,1.5028,1.4687,1.4934,385423.5
1767346200000,1.4934,1.5009,1.4723,1.4858,380678.9
1767347100000,1.4858,1.5405,1.4853,1.5304,606014.3
1767348000000,1.5304,1.5828,1.5217,1.5526,777026.7
1767348900000,1.5526,1.5526,1.5059,1.5156,594980.5
1767349800000,1.5156,1.536,1.4902,1.494,413862.1
1767350700000,1.494,1.5057,1.4936,1.496,186016.6
1767351600000,1.496,1.502,1.4861,1.4965,278598.6
